929,931,1035
1071,1225,1359
1207,1213,1221
1229,1233,1561
1807,1814,1821
2866,2868,3174
4006,4010,4051
4612,4613,4921
5352,5353,5474
360,364,429
2166,2167,2198
2238,2454,2615
2684,2686,2755
2926,2930,2971
3389,3393,3721
3461,3463,3774
3827,4007,4072
4625,4627,4915
179,180,545
526,682,730
774,778,839
1336,1338,1647
1351,1352,1654
1424,1430,1436
1436,1437,1715
1592,1748,2105
1712,1959,2023
2673,2677,2726
3422,3424,3723
3778,3781,3814
4335,4489,4553
4449,4453,4569
4822,4826,4882
4831,4832,4954
4942,5164,5231
54,55,520
488,490,583
634,889,948
997,1001,1023
1825,1826,2089
2008,2009,2098
3263,3421,3490
3342,3621,3682
4305,4306,4416
389,393,404
572,741,961
899,903,944
1124,1303,1547
1182,1461,1522
1718,1980,2002
2385,2391,2397
2997,3001,3105
3287,3470,3528
3396,3400,3676
4813,4814,4935
4941,5162,5286
4957,5218,5331
5342,5343,5364
305,309,361
393,396,507
583,760,827
1399,1401,1659
1711,1957,2101
2049,2050,2109
2218,2407,2433
2249,2495,2512
2679,2830,3169
3608,3610,3846
3877,4138,4251
4196,4198,4319
4391,4599,4616
5023,5029,5068
5124,5126,5433
570,571,624
574,744,771
986,990,1020
1050,1051,1130
1648,1813,2065
2768,2972,3030
2811,2815,2936
3987,3989,4328
4329,4331,4408
4676,4677,4955
453,455,572
669,673,789
1253,1258,1365
1852,1858,1864
1946,1948,2203
2806,3113,3128
2822,2826,3166
4169,4171,4275
4196,4199,4320
5198,5202,5243
938,939,1169
1397,1401,1441
1593,1597,1646
1775,1778,1848
2255,2511,2626
2353,2354,2725
2829,2833,2949
3851,4059,4076
3886,4193,4208
3970,3972,4239
4092,4095,4358
4879,5033,5105
5110,5111,5437
32,41,114
186,191,272
976,978,1100
2139,2290,2629
2954,2958,2998
3525,3527,3802
3739,3741,3827
3743,3745,3857
4887,5053,5072
5388,5390,5484
218,220,570
599,791,996
1582,1588,1643
1661,1838,1962
1748,1752,1803
1820,1822,2166
1869,1870,2141
2262,2541,2602
3773,3774,3882
4354,4524,4551
4411,4657,4801
1160,1380,1439
2984,2986,3259
3246,3247,3278
3305,3306,3347
4131,4137,4143
4306,4462,4510
4678,4684,4690
4928,5132,5190
5261,5266,5303
5334,5336,5448
1269,1274,1337
1540,1541,1725
1544,1546,1660
1890,1893,2174
2182,2183,2240
3811,3981,3999
5446,5447,5492
89,95,185
508,661,1004
649,654,698
775,777,1032
1374,1381,1387
1699,1915,2070
1898,1900,2178
2841,2842,3220
3345,3642,3664
3861,4082,4206
4085,4087,4375
4488,4490,4819
4817,4972,5319
4822,4828,4883
5422,5423,5480
1632,1782,1955
2616,2619,2626
3900,3904,4023
4560,4564,4604
4834,4836,4923
85,96,106
122,128,188
434,438,470
567,733,752
610,814,939
968,972,1005
1634,1635,1708
1941,1942,2245
3351,3355,3476
3960,3965,4009
4298,4452,4720
4811,4815,4878
47,48,461
361,363,606
1509,1510,1569
1624,1625,1723
1860,1864,1904
2546,2549,2559
3275,3449,3660
3778,3779,3813
3860,4080,4139
4226,4230,4260
4817,4973,5304
4980,4984,5103
5246,5249,5259
464,466,580
1903,1907,1968
2261,2537,2554
2289,2293,2409
2850,2853,3241
2947,2950,3012
3058,3064,3070
3492,3499,3505
3703,3704,3762
